ticker,name,market,covered_days,missing_days,missing_dates
003670,포스코퓨처엠,kospi,55,213,... (213개)
000660,SK하이닉스,kospi,65,203,... (203개)
005930,삼성전자,kospi,65,203,... (203개)
005380,현대차,kospi,65,203,... (203개)
034020,두산에너빌리티,kospi,65,203,... (203개)
490470,세미파이브,kosdaq,66,202,... (202개)
476830,알지노믹스,kosdaq,72,196,... (196개)
009150,삼성전기,kospi,81,187,... (187개)
009830,한화솔루션,kospi,81,187,... (187개)
475150,SK이터닉스,kospi,81,187,... (187개)
012450,한화에어로스페이스,kospi,81,187,... (187개)
079550,LIG넥스원,kospi,81,187,... (187개)
105560,KB금융,kospi,81,187,... (187개)
010140,삼성중공업,kospi,81,187,... (187개)
042700,한미반도체,kospi,81,187,... (187개)
028260,삼성물산,kospi,81,187,... (187개)
000270,기아,kospi,81,187,... (187개)
298040,효성중공업,kospi,81,187,... (187개)
000720,현대건설,kospi,81,187,... (187개)
083650,비에이치아이,kosdaq,86,182,... (182개)
140410,메지온,kosdaq,86,182,... (182개)
376900,로킷헬스케어,kosdaq,86,182,... (182개)
475830,오름테라퓨틱,kosdaq,86,182,... (182개)
078600,대주전자재료,kosdaq,86,182,... (182개)
082920,비츠로셀,kosdaq,86,182,... (182개)
174900,앱클론,kosdaq,86,182,... (182개)
047040,대우건설,kospi,86,182,... (182개)
005935,삼성전자우,kospi,86,182,... (182개)
402340,SK스퀘어,kospi,86,182,... (182개)
373220,LG에너지솔루션,kospi,86,182,... (182개)
006400,삼성SDI,kospi,86,182,... (182개)
066970,엘앤에프,kospi,86,182,... (182개)
032820,우리기술,kosdaq,87,181,... (181개)
036930,주성엔지니어링,kosdaq,87,181,... (181개)
440110,파두,kosdaq,87,181,... (181개)
178320,서진시스템,kosdaq,87,181,... (181개)
131970,두산테스나,kosdaq,87,181,... (181개)
089030,테크윙,kosdaq,87,181,... (181개)
100790,미래에셋벤처투자,kosdaq,87,181,... (181개)
090710,휴림로봇,kosdaq,87,181,... (181개)
010170,대한광통신,kosdaq,87,181,... (181개)
403870,HPSP,kosdaq,88,180,... (180개)
080220,제주반도체,kosdaq,89,179,... (179개)
050890,쏠리드,kosdaq,90,178,... (178개)
027360,아주IB투자,kosdaq,97,171,... (171개)
226950,올릭스,kosdaq,220,48,... (48개)
058470,리노공업,kosdaq,240,28,... (28개)
000250,삼천당제약,kosdaq,251,17,2025-05-01;2025-05-05;2025-05-06;2025-06-03;2025-06-06;2025-08-15;2025-10-03;2025-10-06;2025-10-07;2025-10-08;2025-10-09;2025-12-25;2025-12-31;2026-03-02;2026-04-13;2026-04-14;2026-04-15
086520,에코프로,kosdaq,251,17,2025-05-01;2025-05-05;2025-05-06;2025-06-03;2025-06-06;2025-08-15;2025-10-03;2025-10-06;2025-10-07;2025-10-08;2025-10-09;2025-12-25;2025-12-31;2026-03-02;2026-04-13;2026-04-14;2026-04-15
247540,에코프로비엠,kosdaq,251,17,2025-05-01;2025-05-05;2025-05-06;2025-06-03;2025-06-06;2025-08-15;2025-10-03;2025-10-06;2025-10-07;2025-10-08;2025-10-09;2025-12-25;2025-12-31;2026-03-02;2026-04-13;2026-04-14;2026-04-15
196170,알테오젠,kosdaq,251,17,2025-05-01;2025-05-05;2025-05-06;2025-06-03;2025-06-06;2025-08-15;2025-10-03;2025-10-06;2025-10-07;2025-10-08;2025-10-09;2025-12-25;2025-12-31;2026-03-02;2026-04-13;2026-04-14;2026-04-15
277810,레인보우로보틱스,kosdaq,251,17,2025-05-01;2025-05-05;2025-05-06;2025-06-03;2025-06-06;2025-08-15;2025-10-03;2025-10-06;2025-10-07;2025-10-08;2025-10-09;2025-12-25;2025-12-31;2026-03-02;2026-04-13;2026-04-14;2026-04-15
950160,코오롱티슈진,kosdaq,251,17,2025-05-01;2025-05-05;2025-05-06;2025-06-03;2025-06-06;2025-08-15;2025-10-03;2025-10-06;2025-10-07;2025-10-08;2025-10-09;2025-12-25;2025-12-31;2026-03-02;2026-04-13;2026-04-14;2026-04-15
298380,에이비엘바이오,kosdaq,251,17,2025-05-01;2025-05-05;2025-05-06;2025-06-03;2025-06-06;2025-08-15;2025-10-03;2025-10-06;2025-10-07;2025-10-08;2025-10-09;2025-12-25;2025-12-31;2026-03-02;2026-04-13;2026-04-14;2026-04-15
141080,리가켐바이오,kosdaq,251,17,2025-05-01;2025-05-05;2025-05-06;2025-06-03;2025-06-06;2025-08-15;2025-10-03;2025-10-06;2025-10-07;2025-10-08;2025-10-09;2025-12-25;2025-12-31;2026-03-02;2026-04-13;2026-04-14;2026-04-15
028300,HLB,kosdaq,251,17,2025-05-01;2025-05-05;2025-05-06;2025-06-03;2025-06-06;2025-08-15;2025-10-03;2025-10-06;2025-10-07;2025-10-08;2025-10-09;2025-12-25;2025-12-31;2026-03-02;2026-04-13;2026-04-14;2026-04-15
240810,원익IPS,kosdaq,251,17,2025-05-01;2025-05-05;2025-05-06;2025-06-03;2025-06-06;2025-08-15;2025-10-03;2025-10-06;2025-10-07;2025-10-08;2025-10-09;2025-12-25;2025-12-31;2026-03-02;2026-04-13;2026-04-14;2026-04-15
095340,ISC,kosdaq,251,17,2025-05-01;2025-05-05;2025-05-06;2025-06-03;2025-06-06;2025-08-15;2025-10-03;2025-10-06;2025-10-07;2025-10-08;2025-10-09;2025-12-25;2025-12-31;2026-03-02;2026-04-13;2026-04-14;2026-04-15
039030,이오테크닉스,kosdaq,251,17,2025-05-01;2025-05-05;2025-05-06;2025-06-03;2025-06-06;2025-08-15;2025-10-03;2025-10-06;2025-10-07;2025-10-08;2025-10-09;2025-12-25;2025-12-31;2026-03-02;2026-04-13;2026-04-14;2026-04-15
263750,펄어비스,kosdaq,251,17,2025-05-01;2025-05-05;2025-05-06;2025-06-03;2025-06-06;2025-08-15;2025-10-03;2025-10-06;2025-10-07;2025-10-08;2025-10-09;2025-12-25;2025-12-31;2026-03-02;2026-04-13;2026-04-14;2026-04-15
